Price,Date,Close,High,Low,Open,Volume
Ticker,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS
77,2008-04-24,11.01476001739502,11.493662626846977,10.535857407943062,10.535857407943062,37251
78,2008-04-25,11.01476001739502,11.493662626846977,10.535857407943062,11.493662626846977,15549
79,2008-04-28,11.01476001739502,11.972565236298935,10.535857407943062,11.972565236298935,15643
80,2008-04-29,10.535857200622559,11.493662400679154,10.535857200622559,11.493662400679154,10980
81,2008-04-30,10.056954383850098,11.014759563264393,10.056954383850098,10.535856973557244,30104
82,2008-05-02,9.57805347442627,10.535858821868896,9.57805347442627,10.535858821868896,9488
83,2008-05-05,9.57805347442627,10.056956148147583,9.099150800704956,9.57805347442627,26388
84,2008-05-06,9.57805347442627,10.056956148147583,9.099150800704956,9.099150800704956,8647
85,2008-05-07,9.57805347442627,10.056956148147583,9.099150800704956,9.099150800704956,4645
86,2008-05-08,9.099148750305176,9.578051316110711,9.099148750305176,9.578051316110711,5802
87,2008-05-09,9.099148750305176,9.578051316110711,9.099148750305176,9.578051316110711,3881
88,2008-05-12,8.141345024108887,9.099150321062874,8.141345024108887,9.099150321062874,24252
89,2008-05-13,9.099148750305176,9.099148750305176,8.62024618449964,8.62024618449964,7300
90,2008-05-14,10.056954383850098,10.056954383850098,9.57805179414295,10.056954383850098,35674
91,2008-05-15,11.493661880493164,11.493661880493164,10.056954145431519,10.5358567237854,28326
92,2008-05-16,11.493661880493164,11.972564458847046,11.014759302139282,11.493661880493164,19362
93,2008-05-20,11.01476001739502,11.493662626846977,11.01476001739502,11.01476001739502,20954
94,2008-05-21,10.535857200622559,10.535857200622559,10.535857200622559,10.535857200622559,2434
95,2008-05-22,10.056954383850098,10.056954383850098,10.056954383850098,10.056954383850098,2240
96,2008-05-23,9.57805347442627,10.056956148147583,9.57805347442627,9.57805347442627,40915
97,2008-05-26,9.099148750305176,10.056953881916247,9.099148750305176,9.099148750305176,28095
98,2008-05-27,9.57805347442627,9.57805347442627,9.099150800704956,9.099150800704956,7394
99,2008-05-28,9.099148750305176,9.578051316110711,9.099148750305176,9.578051316110711,17904
100,2008-05-29,9.099148750305176,9.578051316110711,8.62024618449964,9.578051316110711,11631
101,2008-05-30,9.099148750305176,9.099148750305176,8.62024618449964,9.099148750305176,6526
102,2008-06-02,9.57805347442627,9.57805347442627,8.620248126983642,8.620248126983642,10224
103,2008-06-03,9.099148750305176,9.578051316110711,8.62024618449964,9.099148750305176,10013
104,2008-06-04,8.620246887207031,9.578052096896702,8.620246887207031,9.578052096896702,37697
105,2008-06-05,8.141345024108887,8.62024767258588,8.141345024108887,8.62024767258588,6808
106,2008-06-06,8.141345024108887,8.62024767258588,8.141345024108887,8.141345024108887,10095
107,2008-06-09,8.141345024108887,8.62024767258588,8.141345024108887,8.141345024108887,10790
108,2008-06-10,8.141345024108887,8.141345024108887,7.662442375631893,7.662442375631893,6959
109,2008-06-11,8.141345024108887,8.141345024108887,7.662442375631893,7.662442375631893,9086
110,2008-06-12,8.141345024108887,8.141345024108887,7.662442375631893,7.662442375631893,4610
111,2008-06-13,7.662441730499268,8.141344338655472,7.662441730499268,7.662441730499268,8942
112,2008-06-16,8.141345024108887,8.141345024108887,8.141345024108887,8.141345024108887,5804
113,2008-06-17,8.620246887207031,8.620246887207031,8.141344282362196,8.620246887207031,4389
114,2008-06-18,9.099148750305176,9.099148750305176,8.62024618449964,9.099148750305176,11261
115,2008-06-19,8.620246887207031,9.578052096896702,8.620246887207031,9.578052096896702,10027
116,2008-06-20,8.141345024108887,9.099150321062874,8.141345024108887,9.099150321062874,8140
117,2008-06-23,7.662441730499268,8.141344338655472,7.662441730499268,8.141344338655472,11120
118,2008-06-24,7.183538436889648,7.662440999348958,7.183538436889648,7.662440999348958,12722
119,2008-06-25,7.183538436889648,7.662440999348958,7.183538436889648,7.183538436889648,12155
120,2008-06-26,7.662441730499268,7.662441730499268,7.183539122343063,7.183539122343063,12991
121,2008-06-27,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,11364
122,2008-06-30,6.225734233856201,7.183539500603309,6.225734233856201,6.704636867229755,21061
123,2008-07-01,6.225734233856201,6.225734233856201,5.746831600482647,6.225734233856201,11742
124,2008-07-02,6.704636573791504,6.704636573791504,5.746831348964147,6.704636573791504,13423
125,2008-07-03,6.225734233856201,6.704636867229755,6.225734233856201,6.225734233856201,5781
126,2008-07-04,6.704636573791504,6.704636573791504,5.746831348964147,5.746831348964147,7766
127,2008-07-07,7.183538436889648,7.183538436889648,6.2257333119710285,6.7046358744303385,10719
128,2008-07-08,7.183538436889648,7.183538436889648,6.7046358744303385,7.183538436889648,4789
129,2008-07-09,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,4759
130,2008-07-10,7.183538436889648,7.183538436889648,6.7046358744303385,6.7046358744303385,15276
131,2008-07-11,6.704636573791504,7.662441798618862,6.704636573791504,7.183539186205183,10547
132,2008-07-14,7.183538436889648,7.662440999348958,6.7046358744303385,7.662440999348958,6698
133,2008-07-15,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,6410
134,2008-07-16,7.183538436889648,7.183538436889648,6.7046358744303385,6.7046358744303385,3892
135,2008-07-17,6.704636573791504,7.183539186205183,6.225733961377825,7.183539186205183,6217
136,2008-07-18,6.704636573791504,7.183539186205183,6.225733961377825,6.704636573791504,3206
137,2008-07-21,7.183538436889648,7.183538436889648,6.2257333119710285,6.7046358744303385,6258
138,2008-07-22,7.183538436889648,7.183538436889648,6.7046358744303385,6.7046358744303385,5268
139,2008-07-23,7.662441730499268,7.662441730499268,7.183539122343063,7.183539122343063,9902
140,2008-07-24,7.183538436889648,8.141343561808268,7.183538436889648,7.662440999348958,4842
141,2008-07-25,7.662441730499268,7.662441730499268,7.183539122343063,7.662441730499268,13331
142,2008-07-28,7.183538436889648,7.662440999348958,7.183538436889648,7.183538436889648,2361
143,2008-07-29,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
144,2008-07-30,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
145,2008-07-31,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
146,2008-08-01,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
147,2008-08-04,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
148,2008-08-05,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
149,2008-08-06,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
150,2008-08-07,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
151,2008-08-08,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
152,2008-08-11,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
153,2008-08-12,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
